symbol,token,,,,,
SUPREME-EQ,29439,,,,,
NEXT30ADD-EQ,29464,,,,,
NIBL-EQ,29733,,,,,
KOHINOOR-EQ,3009,,,,,
WONDERLA-EQ,3002,,,,,
GOLD360-EQ,30105,,,,,
SDL26BEES-EQ,3022,,,,,
SESHAPAPER-EQ,3066,,,,,
RHIM-EQ,31163,,,,,
SIEMENS-EQ,3150,,,,,
MODISONLTD-EQ,3316,,,,,
SURYAROSNI-EQ,3375,,,,,
TATAMOTORS-EQ,3456,,,,,
BALRAMCHIN-EQ,341,,,,,
BANARISUG-EQ,350,,,,,
VINDHYATEL-EQ,3694,,,,,
WEIZMANIND-EQ,3748,,,,,
CAPLIPOINT-EQ,3906,,,,,
GOCLCORP-EQ,3963,,,,,
ZODIACLOTH-EQ,3821,,,,,
REMSONSIND-EQ,3965,,,,,
21STCENMGM-EQ,4,,,,,
SANGAMIND-EQ,4184,,,,,
BIOFILCHEM-EQ,4136,,,,,
STERTOOLS-EQ,4299,,,,,
MIRZAINT-EQ,4394,,,,,
MPHASIS-EQ,4503,,,,,
CREDITACC-EQ,4421,,,,,
RAMCOIND-EQ,4587,,,,,
SKMEGGPROD-EQ,4732,,,,,
DODLA-EQ,4822,,,,,
BFSI-EQ,5220,,,,,
PDSL-EQ,5264,,,,,
VIJAYA-EQ,5585,,,,,
SOUTHBANK-EQ,5948,,,,,
BSLSENETFG-EQ,5957,,,,,
BHAGCHEM-EQ,6164,,,,,
ARTNIRMAN-EQ,6156,,,,,
DTIL-EQ,6227,,,,,
EQUAL50ADD-EQ,6606,,,,,
SBC-EQ,6792,,,,,
DMCC-EQ,6973,,,,,
HESTERBIO-EQ,7048,,,,,
HEUBACHIND-EQ,715,,,,,
MAPMYINDIA-EQ,7227,,,,,
NIFTY50ADD-EQ,7451,,,,,
TREJHARA-EQ,7518,,,,,
CGPOWER-EQ,760,,,,,
CRISIL-EQ,757,,,,,
SILVERBEES-EQ,8080,,,,,
FIBERWEB-EQ,8159,,,,,
SAGARDEEP-EQ,8175,,,,,
DEEPAKFERT-EQ,827,,,,,
MID150BEES-EQ,8506,,,,,
NLCINDIA-EQ,8585,,,,,
VCL-EQ,9020,,,,,
HARIOMPIPE-EQ,8968,,,,,
ROTO-EQ,9049,,,,,
UFO-EQ,9039,,,,,
BALAJITELE-EQ,9158,,,,,
ELECTCAST-EQ,928,,,,,
PGHL-EQ,940,,,,,
CAMPUS-EQ,9362,,,,,
RVNL-EQ,9552,,,,,
POLYCAB-EQ,9590,,,,,
RELCHEMQ-EQ,9652,,,,,
EMUDHRA-EQ,9756,,,,,
GOLDTECH-EQ,9874,,,,,
SILVER360-EQ,756150,,,,,
UNITEDPOLY-EQ,7560,,,,,
MIDCAP-EQ,8077,,,,,
DCM-EQ,805,,,,,
GRWRHITECH-EQ,7982,,,,,
BLBLIMITED-EQ,8132,,,,,
SPENCERS-EQ,8163,,,,,
SHAILY-EQ,8727,,,,,
CHOICEIN-EQ,8866,,,,,
UMIYA-MRO-EQ,8998,,,,,
AGROPHOS-EQ,9046,,,,,
PNCINFRA-EQ,9385,,,,,
SAKAR-EQ,9539,,,,,
ESABINDIA-EQ,955,,,,,
ETHOSLTD-EQ,9750,,,,,
PARADEEP-EQ,9741,,,,,
CHEVIOT-EQ,9879,,,,,
VIKASLIFE-EQ,9931,,,,,
MOSCHIP-EQ,29459,,,,,
NIBE-EQ,29487,,,,,
KALYANKJIL-EQ,2955,,,,,
SURYODAY-EQ,2970,,,,,
ISHANCH-EQ,30249,,,,,
SILVERCASE-EQ,30274,,,,,
SBIN-EQ,3045,,,,,
BAJAJHIND-EQ,308,,,,,
INDOSTAR-EQ,3088,,,,,
GILT5YBEES-EQ,3172,,,,,
SKFINDIA-EQ,3186,,,,,
ISGEC-EQ,3329,,,,,
SRF-EQ,3273,,,,,
SUNDARMFIN-EQ,3339,,,,,
TATACHEM-EQ,3405,,,,,
MAFANG-EQ,3507,,,,,
HEALTHIETF-EQ,3626,,,,,
RITES-EQ,3761,,,,,
TOKYOPLAST-EQ,3837,,,,,
ANMOL-EQ,3727,,,,,
VARROC-EQ,3857,,,,,
MAHLOG-EQ,385,,,,,
TNPL-EQ,3980,,,,,
NIACL-EQ,399,,,,,
ZENITHEXPO-EQ,4176,,,,,
REGENCERAM-EQ,4130,,,,,
BHARATFORG-EQ,422,,,,,
SENSEXIETF-EQ,4378,,,,,
BHARATGEAR-EQ,426,,,,,
SHRIRAMFIN-EQ,4306,,,,,
SBCL-EQ,4656,,,,,
SHYAMMETL-EQ,4693,,,,,
KCPSUGIND-EQ,4809,,,,,
GANGAFORGE-EQ,4957,,,,,
CIGNITITEC-EQ,5142,,,,,
BPL-EQ,530,,,,,
WINDLAS-EQ,5366,,,,,
CYIENT-EQ,5748,,,,,
GULPOLY-EQ,6286,,,,,
TECHNOE-EQ,6445,,,,,
SAPPHIRE-EQ,6718,,,,,
SIGACHI-EQ,6663,,,,,
ZODIAC-EQ,7129,,,,,
STAR-EQ,7374,,,,,
HECPROJECT-EQ,7425,,,,,
GLENMARK-EQ,7406,,,,,
MIDQ50ADD-EQ,7456,,,,,
WOCKPHARMA-EQ,7506,,,,,
ZENTEC-EQ,7508,,,,,
TINNARUBR-EQ,756020,,,,,
WAAREERTL-EQ,756038,,,,,
AUTOIETF-EQ,7844,,,,,
MAKEINDIA-EQ,7979,,,,,
KTKBANK-EQ,8054,,,,,
MOMOMENTUM-EQ,8182,,,,,
DCMSHRIRAM-EQ,811,,,,,
AJANTPHARM-EQ,8124,,,,,
MIDCAPETF-EQ,8413,,,,,
XELPMOC-EQ,8477,,,,,
GATEWAY-EQ,8510,,,,,
AKSHOPTFBR-EQ,8591,,,,,
MSUMI-EQ,8596,,,,,
OBCL-EQ,8797,,,,,
SONAMLTD-EQ,8806,,,,,
USHAMART-EQ,8840,,,,,
ELDEHSG-EQ,8953,,,,,
E2E-EQ,8937,,,,,
INDOAMIN-EQ,9116,,,,,
STARTECK-EQ,9305,,,,,
RAINBOW-EQ,9408,,,,,
DPABHUSHAN-EQ,936,,,,,
LICI-EQ,9480,,,,,
VENUSPIPES-EQ,9592,,,,,
METROPOLIS-EQ,9581,,,,,
SMARTLINK-EQ,9889,,,,,
BCONCEPTS-EQ,7780,,,,,
WEL-EQ,7835,,,,,
SHIVATEX-EQ,804,,,,,
MAHLIFE-EQ,8050,,,,,
MANYAVAR-EQ,8167,,,,,
DEVIT-EQ,8146,,,,,
MITCON-EQ,8469,,,,,
DHAMPURSUG-EQ,857,,,,,
UTISXN50-EQ,9168,,,,,
EQUITASBNK-EQ,913,,,,,
TPLPLASTEH-EQ,9219,,,,,
STLTECH-EQ,9309,,,,,
IOB-EQ,9348,,,,,
SKIPPER-EQ,9428,,,,,
ESCORTS-EQ,958,,,,,
HIKAL-EQ,9668,,,,,
SOUTHWEST-EQ,9678,,,,,
