symbol,token,,,,,
BTML-EQ,14150,,SUPREMEIND-EQ,3363,,SUPREMEIND-EQ
WANBURY-EQ,14063,,SUZLON-EQ,12018,,SUZLON-EQ
JKTYRE-EQ,14435,,SWIGGY-EQ,27066,,SWIGGY-EQ
THEMISMED-EQ,14485,,TVSMOTOR-EQ,8479,,TVSMOTOR-EQ
NAHARSPING-EQ,14440,,TATACOMM-EQ,3721,,TATACOMM-EQ
NCLIND-EQ,14490,,TCS-EQ,11536,,TCS-EQ
SRHHYPOLTD-EQ,14582,,TATACONSUM-EQ,3432,,TATACONSUM-EQ
HILTON-EQ,14627,,TATAELXSI-EQ,3411,,TATAELXSI-EQ
GUJAPOLLO-EQ,14677,,TATAMOTORS-EQ,3456,,TATAMOTORS-EQ
KMSUGAR-EQ,14667,,TATAPOWER-EQ,3426,,TATAPOWER-EQ
NAGREEKEXP-EQ,14702,,TATASTEEL-EQ,3499,,TATASTEEL-EQ
USK-EQ,14871,,TATATECH-EQ,20293,,TATATECH-EQ
KDDL-EQ,14908,,TECHM-EQ,13538,,TECHM-EQ
CSBBANK-EQ,14966,,TITAN-EQ,3506,,TITAN-EQ
DELTACORP-EQ,15044,,TORNTPHARM-EQ,3518,,TORNTPHARM-EQ
AVALON-EQ,15058,,TORNTPOWER-EQ,13786,,TORNTPOWER-EQ
BRIGADE-EQ,15184,,TRENT-EQ,1964,,TRENT-EQ
KIRLPNU-EQ,15180,,TIINDIA-EQ,312,,TIINDIA-EQ
ARIES-EQ,15204,,UPL-EQ,11287,,UPL-EQ
AMBIKCO-EQ,15234,,ULTRACEMCO-EQ,11532,,ULTRACEMCO-EQ
INDIAGLYCO-EQ,1521,,UNIONBANK-EQ,10753,,UNIONBANK-EQ
RPOWER-EQ,15259,,UNITDSPR-EQ,10447,,UNITDSPR-EQ
QGOLDHALF-EQ,15330,,VBL-EQ,18921,,VBL-EQ
APCOTEXIND-EQ,154,,VEDL-EQ,3063,,VEDL-EQ
HINDWAREAP-EQ,15883,,VMM-EQ,27969,,VMM-EQ
BECTORFOOD-EQ,1628,,IDEA-EQ,14366,,IDEA-EQ
LINDEINDIA-EQ,1627,,VOLTAS-EQ,3718,,VOLTAS-EQ
IPCALAB-EQ,1633,,WAAREEENER-EQ,25907,,WAAREEENER-EQ
PTCIL-EQ,16682,,WIPRO-EQ,3787,,WIPRO-EQ
UBL-EQ,16713,,YESBANK-EQ,11915,,YESBANK-EQ
DPWIRES-EQ,16900,,ZYDUSLIFE-EQ,7929,,ZYDUSLIFE-EQ
JOCIL-EQ,16927,,,,,
THYROCARE-EQ,17032,,,,,
LLOYDSME-EQ,17313,,,,,
OIL-EQ,17438,,,,,
VIJIFIN-EQ,17691,,,,,
GROBTEA-EQ,17770,,,,,
ABBOTINDIA-EQ,17903,,,,,
MMTC-EQ,17957,,,,,
WHIRLPOOL-EQ,18011,,,,,
JYOTISTRUC-EQ,1802,,,,,
JIOFIN-EQ,18143,,,,,
LGBBROSLTD-EQ,18321,,,,,
KANORICHEM-EQ,1835,,,,,
RBLBANK-EQ,18391,,,,,
MARATHON-EQ,18659,,,,,
PNBHOUSING-EQ,18908,,,,,
RAJRATAN-EQ,18962,,,,,
MVGJL-EQ,19015,,,,,
BAJAJCON-EQ,19531,,,,,
MAXESTATES-EQ,19646,,,,,
RADIOCITY-EQ,19877,,,,,
MUFIN-EQ,19783,,,,,
EMAMIPAP-EQ,10074,,,,,
FEDERALBNK-EQ,1023,,,,,
PKTEA-EQ,10321,,,,,
UTISENSETF-EQ,10515,,,,,
HDFCNIF100-EQ,10633,,,,,
TCI-EQ,10580,,,,,
KRBL-EQ,10577,,,,,
MOMENTUM-EQ,10693,,,,,
LIQUIDBEES-EQ,11006,,,,,
KSOLVES-EQ,11060,,,,,
TVTODAY-EQ,11275,,,,,
IGL-EQ,11262,,,,,
PETRONET-EQ,11351,,,,,
KRIDHANINF-EQ,11480,,,,,
WELENT-EQ,11626,,,,,
NTPC-EQ,11630,,,,,
NEWGEN-EQ,1164,,,,,
SUPRAJIT-EQ,11689,,,,,
JPPOWER-EQ,11763,,,,,
JINDALPHOT-EQ,11743,,,,,
CONSOFINVT-EQ,11731,,,,,
GLAND-EQ,1186,,,,,
RML-EQ,11975,,,,,
PRAXIS-EQ,1204,,,,,
HNDFDS-EQ,12173,,,,,
OCCL-EQ,12231,,,,,
HYBRIDFIN-EQ,12809,,,,,
G1NSETEST-EQ,12842,,,,,
HARRMALAYA-EQ,1313,,,,,
GALAXYSURF-EQ,1315,,,,,
BLKASHYAP-EQ,13290,,,,,
LANDMARK-EQ,13276,,,,,
KFINTECH-EQ,13359,,,,,
SELAN-EQ,13598,,,,,
PIONEEREMB-EQ,13463,,,,,
DCBBANK-EQ,13725,,,,,
NRL-EQ,13675,,,,,
ACLGATI-EQ,13688,,,,,
NAUKRI-EQ,13751,,,,,
BAIDFIN-EQ,13794,,,,,
VEEDOL-EQ,14019,,,,,
AUTOIND-EQ,14106,,,,,
IGPL-EQ,14086,,,,,
HDFCBSE500-EQ,14230,,,,,
HINDZINC-EQ,1424,,,,,
GOLDETF-EQ,14286,,,,,
IDEA-EQ,14366,,,,,
AMDIND-EQ,14398,,,,,
LEXUS-EQ,14459,,,,,
BANSWRAS-EQ,14511,,,,,
GOLDSHARE-EQ,14535,,,,,
ZENITHSTL-EQ,14562,,,,,
TGBHOTELS-EQ,14607,,,,,
FORTIS-EQ,14592,,,,,
021NSETEST-EQ,14751,,,,,
IDBI-EQ,1476,,,,,
SPARC-EQ,14788,,,,,
DECCANCE-EQ,14838,,,,,
IFBIND-EQ,1485,,,,,
MOTILALOFS-EQ,14947,,,,,
PURVA-EQ,14922,,,,,
KPRMILL-EQ,14912,,,,,
POWERGRID-EQ,14977,,,,,
RELIGARE-EQ,15068,,,,,
ASTERDM-EQ,1508,,,,,
HITECHCORP-EQ,15161,,,,,
HERCULES-EQ,15288,,,,,
GSS-EQ,15347,,,,,
ACL-EQ,15420,,,,,
GILLETTE-EQ,1576,,,,,
TATAINVEST-EQ,1621,,,,,
APOLLOTYRE-EQ,163,,,,,
KIRIINDUS-EQ,16639,,,,,
GOKUL-EQ,16705,,,,,
ITI-EQ,1675,,,,,
ARTEMISMED-EQ,16913,,,,,
VINYLINDIA-EQ,16821,,,,,
ASHOKAMET-EQ,16943,,,,,
COUNCODOS-EQ,16986,,,,,
GATECHDVR-EQ,17,,,,,
CROMPTON-EQ,17094,,,,,
JBCHEPHARM-EQ,1726,,,,,
ALBERTDAVD-EQ,17256,,,,,
NHPC-EQ,17400,,,,,
NV20IETF-EQ,17475,,,,,
CONTROLPR-EQ,17477,,,,,
DAMODARIND-EQ,17541,,,,,
EXPLEOSOL-EQ,17486,,,,,
PVTBANKADD-EQ,17576,,,,,
GPTINFRA-EQ,17685,,,,,
ZYDUSWELL-EQ,17635,,,,,
ALOKINDS-EQ,17675,,,,,
MIDSELIETF-EQ,17702,,,,,
NIITMTS-EQ,17747,,,,,
LTIM-EQ,17818,,,,,
SBFC-EQ,18026,,,,,
JUBLFOOD-EQ,18096,,,,,
HATHWAY-EQ,18154,,,,,
HDFCLIQUID-EQ,18279,,,,,
RATNAVEER-EQ,18423,,,,,
RISHABH-EQ,18417,,,,,
RRKABEL-EQ,18566,,,,,
YATRA-EQ,18760,,,,,
KSL-EQ,18889,,,,,
STYRENIX-EQ,19,,,,,
CUMMINSIND-EQ,1901,,,,,
NBIFIN-EQ,19111,,,,,
KIRLOSIND-EQ,19025,,,,,
HMVL-EQ,19211,,,,,
LIQUIDETF-EQ,1927,,,,,
BHANDARI-EQ,19556,,,,,
PRAKASHSTL-EQ,19599,,,,,
PRICOLLTD-EQ,19631,,,,,
AMNPLST-EQ,19867,,,,,
DEEPAKNTR-EQ,19943,,,,,
LICHSGFIN-EQ,1997,,,,,
TATATECH-EQ,20293,,,,,
HOMEFIRST-EQ,2056,,,,,
SCHAND-EQ,20698,,,,,
HAPPYFORGE-EQ,20854,,,,,
MAHSCOOTER-EQ,2085,,,,,
TEJASNET-EQ,21131,,,,,
TATSILV-EQ,21428,,,,,
PALASHSECU-EQ,21383,,,,,
APEX-EQ,21623,,,,,
SMSLIFE-EQ,21551,,,,,
HINDMOTORS-EQ,21676,,,,,
DIAMONDYD-EQ,21840,,,,,
BOSCHLTD-EQ,2181,,,,,
MEDIASSIST-EQ,21705,,,,,
GENCON-EQ,2188,,,,,
INDTERRAIN-EQ,21957,,,,,
ACC-EQ,22,,,,,
ENTERO-EQ,22717,,,,,
IRISDOREME-EQ,2275,,,,,
GPTHEALTH-EQ,22846,,,,,
RKSWAMY-EQ,23043,,,,,
SRM-EQ,23402,,,,,
AIIL-EQ,23553,,,,,
TBOTEK-EQ,23740,,,,,
NELCO-EQ,2388,,,,,
SANDHAR-EQ,2397,,,,,
NILKAMAL-EQ,2421,,,,,
RELAXO-EQ,24225,,,,,
EMCURE-EQ,24398,,,,,
MIDHANI-EQ,2463,,,,,
OILCOUNTUB-EQ,2472,,,,,
ORIENTTECH-EQ,24961,,,,,
ADANIENT-EQ,25,,,,,
BROOKS-EQ,25136,,,,,
DSSL-EQ,25690,,,,,
VAL30IETF-EQ,25851,,,,,
GROWWGOLD-EQ,25872,,,,,
LLOYDSENT-EQ,25807,,,,,
WAAREEENER-EQ,25907,,,,,
DBEIL-EQ,25892,,,,,
AFCONS-EQ,25977,,,,,
MTARTECH-EQ,2709,,,,,
KMEW-EQ,27084,,,,,
EGOLD-EQ,19933,,,,,
LUMAXIND-EQ,2018,,,,,
COALINDIA-EQ,20374,,,,,
IOLCP-EQ,20413,,,,,
CHENNPETRO-EQ,2049,,,,,
ASHIMASYN-EQ,206,,,,,
BHAGYANGR-EQ,20776,,,,,
MOIL-EQ,20830,,,,,
CDSL-EQ,21174,,,,,
LIQUIDCASE-EQ,21750,,,,,
SBILIFE-EQ,21808,,,,,
CAPACITE-EQ,21749,,,,,
MCL-EQ,22360,,,,,
MAXHEALTH-EQ,22377,,,,,
MOREPENLAB-EQ,2259,,,,,
LANCORHOL-EQ,23027,,,,,
JGCHEM-EQ,23056,,,,,
LIQUIDADD-EQ,23407,,,,,
SYMPHONY-EQ,24190,,,,,
VSTTILLERS-EQ,24292,,,,,
VRAJ-EQ,24321,,,,,
ASHIANA-EQ,24403,,,,,
KARMAENG-EQ,24385,,,,,
AVANTEL-EQ,24610,,,,,
FIRSTCRY-EQ,24814,,,,,
INVENTURE-EQ,24870,,,,,
LTF-EQ,24948,,,,,
RAYMONDLSL-EQ,25073,,,,,
BCLIND-EQ,2513,,,,,
